,x,y,change
49,-66.43856075151514,18.45931267,-3.3322230000000026
549,-66.43846605454544,18.45931267,-3.8363373333333364
2048,-66.43818196363635,18.45940267,-3.9859294999999975
2164,-66.43818196363635,18.44896267,-2.3611819999999994
2165,-66.43818196363635,18.44887267,-3.8355696666666645
2548,-66.43808726666666,18.45940267,-5.034872666666665
2664,-66.43808726666666,18.44896267,-2.024222999999999
2665,-66.43808726666666,18.44887267,-4.5283419999999985
2666,-66.43808726666666,18.44878267,-2.4565176666666666
3048,-66.43799256969696,18.45940267,-3.6247211666666637
3164,-66.43799256969696,18.44896267,-2.1618328333333316
3165,-66.43799256969696,18.44887267,-3.366587833333334
3166,-66.43799256969696,18.44878267,-3.124282666666666
3476,-66.43799256969696,18.42088267,-5.012972499999998
3665,-66.43789787272726,18.44887267,-2.5765224999999994
3769,-66.43789787272726,18.43951267,-2.415063
3976,-66.43789787272726,18.42088267,-4.618656833333331
4269,-66.43780317575757,18.43951267,-2.2289596666666682
4769,-66.43770847878787,18.43951267,-3.639174333333333
5549,-66.43751908484847,18.45931267,-2.3410756666666686
5857,-66.43751908484847,18.43159267,-2.8355718333333293
8049,-66.43704559999999,18.45931267,-2.9672498333333337
8549,-66.4369509030303,18.45931267,-1.522818499999996
11048,-66.43647741818181,18.45940267,-7.7134803333333295
11049,-66.43647741818181,18.45931267,-6.628084833333334
11548,-66.43638272121211,18.45940267,-9.16905816666667
11549,-66.43638272121211,18.45931267,-6.574812333333336
12048,-66.43628802424242,18.45940267,-3.907463333333336
12548,-66.43619332727272,18.45940267,-1.4178091666666646
12887,-66.43619332727272,18.42889267,-5.68725866666667
13048,-66.43609863030302,18.45940267,-2.7847858333333306
13156,-66.43609863030302,18.44968267,-2.584665833333336
13655,-66.43600393333332,18.44977267,-3.037065166666668
13656,-66.43600393333332,18.44968267,-3.396978999999998
14047,-66.43590923636363,18.45949267,-3.698551499999997
14547,-66.43581453939393,18.45949267,-4.552175666666667
14548,-66.43581453939393,18.45940267,-5.308602833333332
15047,-66.43571984242423,18.45949267,-3.00367266666667
15547,-66.43562514545454,18.45949267,-3.3375481666666644
16047,-66.43553044848484,18.45949267,-4.4318554999999975
16547,-66.43543575151514,18.45949267,-5.183507500000001
16762,-66.43543575151514,18.44014267,-0.7252529999999986
16911,-66.43543575151514,18.42673267,-4.309926500000003
16912,-66.43543575151514,18.42664267,-4.718668666666666
16913,-66.43543575151514,18.42655267,-4.18686116666667
17046,-66.43534105454545,18.45958267,-2.308941666666666
17048,-66.43534105454545,18.45940267,-5.068611166666665
17264,-66.43534105454545,18.43996267,-1.05274833333333
17411,-66.43534105454545,18.42673267,-4.257224333333333
17412,-66.43534105454545,18.42664267,-3.6806909999999995
17413,-66.43534105454545,18.42655267,-3.0472215000000027
17911,-66.43524635757575,18.42673267,-4.908851666666669
17912,-66.43524635757575,18.42664267,-3.3551081666666676
18412,-66.43515166060605,18.42664267,-4.12978316666667
18546,-66.43505696363636,18.45958267,-1.6893668333333345
19046,-66.43496226666666,18.45958267,-3.4954505000000005
19547,-66.43486756969696,18.45949267,-2.838458499999998
20047,-66.43477287272727,18.45949267,-3.333343166666669
21047,-66.43458347878787,18.45949267,-0.5893273333333333
21547,-66.43448878181817,18.45949267,-2.5511896666666694
22548,-66.43429938787878,18.45940267,-4.501408333333334
23158,-66.43420469090908,18.44950267,-4.192634499999997
23159,-66.43420469090908,18.44941267,-3.3756625000000007
23259,-66.43420469090908,18.44041267,-3.0780421666666697
23658,-66.43410999393939,18.44950267,-3.813208666666668
23659,-66.43410999393939,18.44941267,-3.390365666666664
25047,-66.4338259030303,18.45949267,-4.216168999999997
25547,-66.4337312060606,18.45949267,-1.5858683333333303
25548,-66.4337312060606,18.45940267,-3.2587314999999997
26047,-66.4336365090909,18.45949267,-2.8689350000000005
26547,-66.4335418121212,18.45949267,-3.2917236666666696
27047,-66.43344711515151,18.45949267,-5.128468000000002
27243,-66.43344711515151,18.44185267,-4.920674666666665
27244,-66.43344711515151,18.44176267,-5.312392333333332
27547,-66.43335241818181,18.45949267,-3.1003170000000004
28195,-66.43325772121212,18.44617267,-1.8585101666666652
28196,-66.43325772121212,18.44608267,-1.5100826666666656
28694,-66.43316302424242,18.44626267,-2.482382833333329
32549,-66.43240544848484,18.45931267,-1.6316373333333303
32957,-66.43240544848484,18.42259267,-3.564005833333333
32958,-66.43240544848484,18.42250267,-3.456843833333334
33049,-66.43231075151515,18.45931267,-3.690890333333332
33458,-66.43231075151515,18.42250267,-4.163427333333335
33550,-66.43221605454545,18.45922267,-4.09476883333333
33751,-66.43221605454545,18.44113267,-1.216577000000001
33752,-66.43221605454545,18.44104267,-2.525950166666668
34250,-66.43212135757575,18.44122267,-2.305333000000001
34751,-66.43202666060606,18.44113267,-1.1633106666666677
34752,-66.43202666060606,18.44104267,-4.116727833333332
34753,-66.43202666060606,18.44095267,-2.8480345000000042
35252,-66.43193196363636,18.44104267,-3.9084478333333337
35253,-66.43193196363636,18.44095267,-4.430401666666668
35254,-66.43193196363636,18.44086267,-4.1796285
35715,-66.43183726666666,18.44437267,-2.3448916666666655
36214,-66.43174256969697,18.44446267,-2.7792026666666665
36215,-66.43174256969697,18.44437267,-3.0489278333333374
38553,-66.43126908484848,18.45895267,-1.9610741666666662
39053,-66.43117438787878,18.45895267,-3.2913291666666638
39251,-66.43117438787878,18.44113267,-2.8537623333333357
39553,-66.43107969090909,18.45895267,-2.0740153333333353
43554,-66.43032211515151,18.45886267,-2.2593704999999993
44054,-66.4302274181818,18.45886267,-1.9678791666666662
44586,-66.4301327212121,18.45598267,-4.267438166666665
44587,-66.4301327212121,18.45589267,-6.440609166666668
44588,-66.4301327212121,18.45580267,-3.836653666666667
44748,-66.4301327212121,18.44140267,-3.6443609999999964
44749,-66.4301327212121,18.44131267,-3.296123333333334
45084,-66.4300380242424,18.45616267,-1.7555786666666684
45085,-66.4300380242424,18.45607267,-3.0162835
45086,-66.4300380242424,18.45598267,-5.2166418333333375
45087,-66.4300380242424,18.45589267,-5.892658000000001
45088,-66.4300380242424,18.45580267,-3.357305833333335
45583,-66.42994332727271,18.45625267,-6.288621166666669
45584,-66.42994332727271,18.45616267,-5.2227306666666635
45585,-66.42994332727271,18.45607267,-4.806014833333336
45588,-66.42994332727271,18.45580267,-1.433059
46083,-66.42984863030301,18.45625267,-4.404132499999999
46084,-66.42984863030301,18.45616267,-3.7452070000000006
46085,-66.42984863030301,18.45607267,-4.627078999999998
46086,-66.42984863030301,18.45598267,-3.6780524999999997
46088,-66.42984863030301,18.45580267,-1.3942458333333327
46243,-66.42984863030301,18.44185267,-1.8545935
46244,-66.42984863030301,18.44176267,-1.4347653333333348
46584,-66.42975393333332,18.45616267,-4.008334833333333
46585,-66.42975393333332,18.45607267,-4.762255666666665
46586,-66.42975393333332,18.45598267,-3.7211181666666704
46587,-66.42975393333332,18.45589267,-3.6874395
46588,-66.42975393333332,18.45580267,-3.285394666666665
47056,-66.42965923636362,18.45868267,-1.9807638333333308
47085,-66.42965923636362,18.45607267,-6.246805499999999
47086,-66.42965923636362,18.45598267,-6.007133999999999
47557,-66.42956453939392,18.45859267,-2.0131206666666657
49058,-66.42928044848483,18.45850267,-2.6444164999999984
49558,-66.42918575151513,18.45850267,-3.868451499999999
52748,-66.42861756969695,18.44140267,-1.2937301666666663
53056,-66.42852287272726,18.45868267,-2.9653288333333307
53057,-66.42852287272726,18.45859267,-2.6053241666666693
53556,-66.42842817575756,18.45868267,-2.2980498333333337
57129,-66.42776529696968,18.45211267,-4.985453666666665
57130,-66.42776529696968,18.45202267,-5.582762166666669
58055,-66.42757590303029,18.45877267,-3.8048384999999953
59055,-66.4273865090909,18.45877267,-0.6968119999999978
60055,-66.4271971151515,18.45877267,-2.4883241666666684
60555,-66.4271024181818,18.45877267,-3.459901666666667
60719,-66.4271024181818,18.44401267,-1.0426673333333305
60720,-66.4271024181818,18.44392267,-1.7712164999999978
60992,-66.4271024181818,18.41944267,-1.4629843333333312
61055,-66.4270077212121,18.45877267,-2.505006166666668
61118,-66.4270077212121,18.45310267,-5.886195166666665
61119,-66.4270077212121,18.45301267,-5.885514000000001
61636,-66.42691302424241,18.45148267,-6.288044833333334
62136,-66.42681832727271,18.45148267,-7.148124833333332
62618,-66.42672363030302,18.45310267,-5.9408030000000025
62619,-66.42672363030302,18.45301267,-5.713072666666667
62636,-66.42672363030302,18.45148267,-6.224151166666667
62637,-66.42672363030302,18.45139267,-5.140856833333332
63051,-66.42662893333332,18.45913267,-1.3553709999999946
63137,-66.42662893333332,18.45139267,-4.954334333333334
63138,-66.42662893333332,18.45130267,-3.6327229999999986
63550,-66.42653423636362,18.45922267,-0.9056504999999966
63638,-66.42653423636362,18.45130267,-3.600808666666669
63639,-66.42653423636362,18.45121267,-4.319845333333333
65000,-66.42625014545453,18.46372267,-3.0799425000000014
65001,-66.42625014545453,18.46363267,-4.544255500000002
65500,-66.42615544848483,18.46372267,-4.030351500000002
65501,-66.42615544848483,18.46363267,-4.670163000000002
65511,-66.42615544848483,18.46273267,-3.4138433333333325
65625,-66.42615544848483,18.45247267,-3.7327351666666644
65626,-66.42615544848483,18.45238267,-3.0185791666666724
66000,-66.42606075151514,18.46372267,-3.5868559999999974
66001,-66.42606075151514,18.46363267,-5.0080666666666644
66010,-66.42606075151514,18.46282267,-3.435606166666666
66011,-66.42606075151514,18.46273267,-2.8175116666666646
66012,-66.42606075151514,18.46264267,-4.462927999999998
66013,-66.42606075151514,18.46255267,-5.2862810000000025
66014,-66.42606075151514,18.46246267,-3.3647998333333327
66015,-66.42606075151514,18.46237267,-4.33141916666667
66016,-66.42606075151514,18.46228267,-3.8486979999999953
66017,-66.42606075151514,18.46219267,-5.1150251666666655
66121,-66.42606075151514,18.45283267,-3.650593499999996
66122,-66.42606075151514,18.45274267,-3.4151618333333325
66123,-66.42606075151514,18.45265267,-4.6801006666666645
66124,-66.42606075151514,18.45256267,-5.6581984999999975
66125,-66.42606075151514,18.45247267,-6.0208431666666655
66126,-66.42606075151514,18.45238267,-4.642426
66500,-66.42596605454544,18.46372267,-3.1762580000000042
66501,-66.42596605454544,18.46363267,-4.167559499999999
66506,-66.42596605454544,18.46318267,-2.376393499999999
66507,-66.42596605454544,18.46309267,-4.061325666666669
66508,-66.42596605454544,18.46300267,-6.885509333333335
66509,-66.42596605454544,18.46291267,-7.484454333333332
66510,-66.42596605454544,18.46282267,-6.384019000000002
66511,-66.42596605454544,18.46273267,-3.652116666666668
66512,-66.42596605454544,18.46264267,-4.231388833333334
66513,-66.42596605454544,18.46255267,-4.114512833333329
66514,-66.42596605454544,18.46246267,-3.0258951666666682
66515,-66.42596605454544,18.46237267,-3.7475818333333315
66516,-66.42596605454544,18.46228267,-3.2151846666666657
66517,-66.42596605454544,18.46219267,-3.1342490000000005
66518,-66.42596605454544,18.46210267,-3.562309333333335
66519,-66.42596605454544,18.46201267,-2.8654535000000045
66622,-66.42596605454544,18.45274267,-4.124337000000001
66623,-66.42596605454544,18.45265267,-5.795664499999997
66624,-66.42596605454544,18.45256267,-7.724399833333337
66625,-66.42596605454544,18.45247267,-7.777093166666667
66626,-66.42596605454544,18.45238267,-7.139781500000002
66627,-66.42596605454544,18.45229267,-5.3951405
67001,-66.42587135757574,18.46363267,-3.617636333333337
67002,-66.42587135757574,18.46354267,-4.2801083333333345
67004,-66.42587135757574,18.46336267,-2.5021609999999974
67005,-66.42587135757574,18.46327267,-2.5790039999999976
67006,-66.42587135757574,18.46318267,-3.034449500000001
67007,-66.42587135757574,18.46309267,-3.871876499999999
67008,-66.42587135757574,18.46300267,-7.7159749999999985
67009,-66.42587135757574,18.46291267,-8.024461000000002
67010,-66.42587135757574,18.46282267,-5.53881566666667
67019,-66.42587135757574,18.46201267,-3.6829944999999995
67020,-66.42587135757574,18.46192267,-3.9414896666666657
67048,-66.42587135757574,18.45940267,-1.8607233333333362
67122,-66.42587135757574,18.45274267,-4.941740666666668
67123,-66.42587135757574,18.45265267,-7.2634064999999985
67124,-66.42587135757574,18.45256267,-9.361213999999999
67125,-66.42587135757574,18.45247267,-9.085634666666666
67126,-66.42587135757574,18.45238267,-8.711804000000003
67127,-66.42587135757574,18.45229267,-6.423619833333332
67128,-66.42587135757574,18.45220267,-5.246413666666669
67133,-66.42587135757574,18.45175267,-6.486952666666667
67134,-66.42587135757574,18.45166267,-7.364684999999998
67135,-66.42587135757574,18.45157267,-8.192481166666667
67136,-66.42587135757574,18.45148267,-8.225308499999999
67502,-66.42577666060605,18.46354267,-4.1400601666666645
67503,-66.42577666060605,18.46345267,-3.276391666666669
67504,-66.42577666060605,18.46336267,-2.7689895
67505,-66.42577666060605,18.46327267,-3.0290738333333316
67506,-66.42577666060605,18.46318267,-3.2478549999999977
67507,-66.42577666060605,18.46309267,-4.256689333333332
67508,-66.42577666060605,18.46300267,-5.809149333333332
67519,-66.42577666060605,18.46201267,-4.250418
67520,-66.42577666060605,18.46192267,-5.429574166666669
67521,-66.42577666060605,18.46183267,-4.855657666666666
67547,-66.42577666060605,18.45949267,-1.6489391666666648
67548,-66.42577666060605,18.45940267,-2.2234795
67624,-66.42577666060605,18.45256267,-7.0360138333333335
67625,-66.42577666060605,18.45247267,-7.658326333333335
67626,-66.42577666060605,18.45238267,-7.4663465
67627,-66.42577666060605,18.45229267,-7.971165999999997
67628,-66.42577666060605,18.45220267,-6.773949666666667
67629,-66.42577666060605,18.45211267,-5.718486166666667
67633,-66.42577666060605,18.45175267,-9.023464000000002
67634,-66.42577666060605,18.45166267,-10.376214666666664
67635,-66.42577666060605,18.45157267,-9.833292999999998
68003,-66.42568196363635,18.46345267,-3.253025166666667
68004,-66.42568196363635,18.46336267,-3.8221301666666676
68005,-66.42568196363635,18.46327267,-3.1998004999999985
68006,-66.42568196363635,18.46318267,-3.8701026666666642
68019,-66.42568196363635,18.46201267,-4.4241905
68020,-66.42568196363635,18.46192267,-4.975604999999998
68021,-66.42568196363635,18.46183267,-3.124273166666665
68039,-66.42568196363635,18.46021267,-3.406254833333332
68040,-66.42568196363635,18.46012267,-2.9504148333333333
68041,-66.42568196363635,18.46003267,-1.6313566666666652
68042,-66.42568196363635,18.45994267,-0.9066303333333323
68048,-66.42568196363635,18.45940267,-1.074675166666669
68049,-66.42568196363635,18.45931267,-2.0769389999999994
68127,-66.42568196363635,18.45229267,-8.002352666666665
68128,-66.42568196363635,18.45220267,-6.905443
68133,-66.42568196363635,18.45175267,-10.319983000000002
68134,-66.42568196363635,18.45166267,-10.45760733333333
